"M_B7_C16b_FL06_ctrlF_PEAligned.out.bam.htseq.gene.out" "M_B7_C16b_SP06_ctrlS_PEAligned.out.bam.htseq.gene.out" "M_B7_STC1b_FL06_ctrlF_PEAligned.out.bam.htseq.gene.out" "M_B7_STC1b_SP06_ctrlS_PEAligned.out.bam.htseq.gene.out" "M_B8_C1b_FL06_ctrlF_PEAligned.out.bam.htseq.gene.out" "M_B8_C1b_SP06_ctrlS_PEAligned.out.bam.htseq.gene.out" "M_B8_STC6_FL06_ctrlF_PEAligned.out.bam.htseq.gene.out" "M_B8_STC6_SP06_ctrlS_PEAligned.out.bam.htseq.gene.out"
"LOC105274464" 12.6597850464636 12.3835049691112 12.5670479255561 12.0918086581234 12.4326471344919 12.1188172752663 12.831863795812 12.3732512109667
"LOC105274465" 11.311006084807 11.3773862862836 11.5126426984228 11.1730258852523 11.5437539186658 11.3808547331397 11.4377013678587 11.3619970402315
"LOC105274466" 6.75551419917749 6.95209014706208 7.25794997202631 7.0027269762872 7.11618498603818 7.25384470780943 6.98665104772562 7.01573894367227
"LOC105274467" 12.2999400121489 11.8490672861515 11.9827121375605 11.5907316284843 12.0286745720523 11.7663015718132 12.4387988799308 11.9551460713968
"LOC105274468" 6.87353789463123 6.45196339892928 6.5363500718249 6.8402235298953 6.69090398007568 6.76249338026804 6.79731501862833 6.7251335942094
"LOC105274469" 10.5825317291231 10.5671974700315 10.6979112565119 10.4651634269411 10.6882137241345 10.6495446068606 10.5508040912082 10.469080249505
"LOC105274470" 11.5145323842391 11.015190347874 10.8391941940242 10.8212243357785 11.0685931092433 10.9270699845955 11.5517390883343 11.1656631301245
"LOC105274471" 12.5946040554806 12.4195781505511 12.2912048274867 12.195885812732 12.2865113895246 12.1035665123565 12.6091443492869 12.4880018071942
"LOC105274472" 12.6857191386169 12.7397625038582 12.6405997845145 12.3568844067134 12.7892404233289 12.6527131666944 12.5707604034904 12.486192391258
"LOC105274473" 10.3138979315538 10.3761411340772 10.5266440707584 10.4884437994212 10.6347348548294 10.2917408749045 10.2488188942453 10.4589599774759
"LOC105274474" 6.80425046980419 6.73135009976204 6.66189459370993 7.03266158437395 7.42926637549783 7.76193963545961 6.8640124363008 6.73948721782147
"LOC105274475" 13.258194250529 12.9598713377304 13.007667274381 12.8098797180503 12.845458061375 12.9594033568782 13.398994964305 13.0018711738719
"LOC105274476" 10.1651500602548 9.81450331152028 10.1358374219118 9.79451052711303 10.2930264886083 10.5867710391847 10.0655608709393 9.82125377176496
"LOC105274477" 6.78015493018985 6.53780227788651 6.70053044216128 6.49189840680836 6.62676764444728 6.7437372121664 6.50916247549692 6.34260493461519
"LOC105274478" 12.807058471903 12.5593439272125 12.7364327004881 12.4586489341564 12.7505067828635 13.2855743976565 12.6664800326352 12.3259825871038
"LOC105274479" 10.086706014814 10.1197980671555 10.4284890987031 10.1548365777354 10.4866261128664 10.7383505428752 9.8954143293073 9.70756771610081
"LOC105274480" 14.0180208719345 13.3559071401534 14.37599710665 13.4805579116558 14.1654072893349 13.9063966605771 14.0694684678801 13.2389813069162
"LOC105274481" 7.42749081146007 7.08862678168926 8.16727412727242 8.03305219559126 7.39554786093165 7.52756767301025 7.12382459953914 6.80852451629749
"LOC105274482" 5.85035501095492 5.97819423647567 5.70120720519162 5.78721038207468 5.71504337765987 5.70776201988533 5.63763517500189 5.99553659555795
"LOC105274483" 9.79355136433906 10.0143983799771 9.9013748563005 9.61880798691941 9.99334691073508 9.94856686602111 9.46999850340916 9.4415174490659
