"P_B1_C16II_SP12_ctrlS_PE_Aligned.out.bam.htseq.gene.out" "P_B1_C16III_FL12_ctrlF_PE_Aligned.out.bam.htseq.gene.out" "P_B1_C16III_SP12_ctrlS_PE_Aligned.out.bam.htseq.gene.out" "P_B1_C16IV_FL12_ctrlF_PE_Aligned.out.bam.htseq.gene.out" "P_B1_C16IV_SP12_ctrlS_PE_Aligned.out.bam.htseq.gene.out" "P_B2_C16II_FL12_ctrlF_PE_Aligned.out.bam.htseq.gene.out" "P_B2_STC1II_FL12_ctrlF_PE_Aligned.out.bam.htseq.gene.out" "P_B2_STC1II_SP12_ctrlS_PE_Aligned.out.bam.htseq.gene.out" "P_B2_STC1IV_FL12_ctrlF_PE_Aligned.out.bam.htseq.gene.out" "P_B2_STC1IV_SP12_ctrlS_PE_Aligned.out.bam.htseq.gene.out" "P_B6_STC1II_FL12_ctrlF_SEAligned.out.bam.htseq.gene.out" "P_B6_STC1II_SP12_ctrlS_SEAligned.out.bam.htseq.gene.out" "P_B6_STC1IV_FL12_ctrlF_SEAligned.out.bam.htseq.gene.out" "P_B6_STC1IV_SP12_ctrlS_SEAligned.out.bam.htseq.gene.out"
"LOC105274455" 7.60310440509613 7.41826750376892 7.99976438129799 7.57219486405714 7.79890735007318 7.34374828121283 7.28170627250128 7.71769199177244 7.6736358740536 7.78653651925168 7.91605502155067 8.11056486837218 7.63923101781101 7.58279863634872
"LOC105274456" 10.3071208859361 10.0273820762777 10.3289360781751 10.1500094214146 10.2912679661926 10.530359820121 10.6518686454203 10.8646667422828 10.6201221788133 11.1186834026435 10.2721008258537 10.597327757942 10.1340420240648 10.6022604407775
"LOC105274457" 8.46492722244076 8.53959032425987 8.20403287676817 8.44510630101107 8.65046788071438 8.75376725254041 8.32102084734269 8.40557715820294 8.22622375031079 8.42476120128016 8.66585031925869 8.37699988225762 8.32320981350587 8.2958140650576
"LOC105274458" 9.10813777117486 8.90940763858023 9.1570726807452 9.05278341846528 8.84784552185994 9.05128451125954 9.37392100173554 9.4552581942269 9.26733326085783 9.86233082596086 9.30910379226429 9.55877965400697 9.21613730467605 9.51320806713448
"LOC105274459" 9.36161615267356 9.5771939903364 9.36091056849351 9.67779543432349 9.37588874905721 9.70944983077138 9.18181549368925 9.29434667375002 9.31793478307107 9.15127249850094 10.0817399759134 9.97356775643338 10.0324755377646 9.62233813495156
"LOC105274460" 9.86576895762943 10.1557672103149 9.84479145920643 10.2508029382151 10.0536923414264 10.273683203713 9.99387922157364 10.313019814842 10.3844776934991 9.99869524663049 10.9400784662331 10.9551251333669 11.0150268342078 10.7116414667158
"LOC105274461" 11.4137937323303 11.5159988612267 11.5023646101337 11.5967870245254 11.4489536493125 11.4936096287974 11.674913585338 11.4934477821813 11.5667403512942 11.8713210916626 11.245796321409 11.1459237834639 11.2518294526906 11.3394004809126
"LOC105274462" 5.8686933639916 6.04059738972022 5.66112530512975 6.14220440705541 5.72763756616292 6.10436128153265 5.81291227862161 6.74918657778622 5.75877841357471 6.0788376888123 5.82429742060913 6.67683139193052 5.86314900134379 5.58833862230017
"LOC105274463" 9.63569962087167 9.41950877247016 9.87356969359337 9.86398090035406 9.7722142157751 9.78400385711084 8.38032032360275 8.9692066064978 8.97947880350759 8.32864548638438 9.621048854775 9.70815767207866 9.61131222167531 9.50286317222661
"LOC105274464" 12.3734332622066 12.3803530248039 12.3339730516309 12.3555394597568 12.350336245553 12.6195756221623 12.8440960545877 12.6511602111519 12.9632332417809 12.6695086827283 12.7903517363631 12.7213954030584 12.9393456530846 12.5755457374552
"LOC105274465" 10.6452588074051 11.1153709806975 10.6992200059481 11.2048391435509 10.7670898404513 10.793777864348 10.8158279787612 10.99100550928 11.0610595007517 10.7721625879147 10.9511516209101 11.2027750122046 11.2472148941323 10.9449474576136
"LOC105274466" 8.91545753738881 8.81025548513883 8.93764539660151 8.6646572007246 8.86007925570725 8.24387374082576 6.87562999586647 7.06144853912539 6.77246842648836 6.73900328744708 9.03295480282902 9.08883144351445 8.5093781635455 8.80002427428436
"LOC105274467" 11.7955339673224 11.8081829878627 11.6944604299788 11.9572275681506 11.7510409520828 11.7018556642088 11.7347134445114 11.2986713065948 11.7773748057254 11.4328713369021 11.7165586211333 11.4931513896831 11.7051001536322 11.2089753580013
"LOC105274468" 6.61077232271035 6.44671580749615 6.5521906155758 6.64398918714091 6.86722841716898 6.69675867149363 6.67932235913603 6.03173327142569 6.5217935995796 6.36647290298303 6.5744727316605 6.37053557700763 6.75387328767727 6.38485136148569
"LOC105274469" 9.75386003660621 10.1909197723034 10.1271698901352 10.4066449891774 10.0655649513725 9.91187110139639 10.056114592996 9.97322103466765 10.2365511287723 10.104238416987 10.5462786824311 10.4950320634303 10.5957952797751 10.4194745961566
"LOC105274470" 10.8135014421746 10.745600923432 10.9228899160151 10.8053558416479 10.9481607850931 10.9806205609768 10.6130553853915 10.6843702505515 10.5320380053128 10.7226302896298 10.7833076396663 10.7602275748185 10.541027170499 10.7470608418536
